Gene	Median Rank	Full Ranks
DAZ4	10.0	[10, 13, 10, 10, 12, 17, 10, 11, 10, 10, 10, 10, 7, 10, 10, 12, 10, 11, 10, 10, 10, 10, 10, 11, 10, 8, 11, 10, 12, 7, 10, 10, 10, 11, 10, 10, 9, 12, 10, 10, 10, 12, 10, 10, 7, 10, 10, 11, 10, 10, 10, 10, 10, 10, 7, 11, 11, 11, 10, 10, 7, 10, 11, 10, 10, 10, 13, 10, 10, 11, 10, 9, 10, 10, 10, 14, 11, 10, 7, 10, 21, 10, 11, 10, 10, 10, 8, 10, 10, 11, 10, 10, 13, 10, 10, 10, 10, 10, 11, 10]
OR2S2	15.0	[19, 15, 10, 20, 13, 15, 13, 14, 15, 14, 10, 11, 14, 19, 17, 12, 12, 24, 13, 17, 20, 12, 12, 12, 16, 12, 18, 10, 11, 19, 18, 12, 17, 22, 13, 18, 12, 12, 10, 19, 13, 12, 25, 12, 18, 14, 11, 12, 17, 17, 16, 11, 11, 24, 12, 16, 20, 18, 16, 17, 16, 16, 13, 12, 13, 16, 20, 18, 18, 17, 10, 19, 11, 11, 23, 9, 13, 11, 14, 30, 11, 13, 19, 14, 20, 14, 12, 20, 11, 19, 17, 18, 20, 14, 26, 17, 15, 11, 964, 20]
OR52A1	69.5	[69, 73, 105, 39, 98, 67, 130, 53, 65, 33, 42, 116, 50, 48, 122, 196, 114, 40, 72, 76, 42, 71, 93, 111, 37, 62, 70, 111, 172, 108, 48, 92, 96, 62, 88, 44, 36, 61, 69, 56, 43, 71, 65, 37, 40, 104, 47, 91, 114, 70, 87, 33, 38, 78, 34, 43, 75, 78, 115, 116, 102, 75, 37, 47, 36, 115, 95, 63, 58, 43, 66, 183, 77, 48, 89, 40, 126, 79, 31, 47, 38, 93, 66, 94, 35, 40, 120, 145, 123, 140, 80, 42, 61, 40, 95, 40, 149, 153, 56, 42]
CDC42BPB	104.0	[75, 36, 98, 167, 116, 78, 244, 103, 135, 72, 108, 61, 115, 50, 103, 198, 199, 68, 88, 95, 216, 69, 151, 71, 145, 130, 133, 130, 57, 53, 380, 97, 81, 318, 243, 141, 165, 70, 75, 120, 85, 674, 199, 70, 80, 71, 146, 148, 156, 242, 71, 114, 76, 104, 122, 87, 67, 63, 160, 213, 74, 73, 64, 112, 86, 70, 161, 102, 143, 105, 85, 115, 34, 94, 125, 128, 100, 54, 49, 77, 247, 59, 139, 45, 84, 33, 194, 180, 146, 150, 108, 133, 71, 104, 134, 155, 160, 215, 104, 82]
CPB1	116.0	[230, 116, 80, 55, 99, 313, 100, 91, 139, 101, 174, 156, 145, 115, 123, 100, 83, 143, 133, 122, 130, 90, 106, 206, 95, 122, 311, 134, 110, 95, 140, 118, 134, 102, 123, 111, 43, 147, 182, 98, 94, 142, 116, 137, 132, 112, 147, 83, 432, 139, 154, 136, 285, 115, 131, 104, 125, 101, 205, 174, 121, 151, 160, 60, 116, 106, 125, 103, 103, 147, 98, 96, 102, 116, 77, 99, 111, 115, 92, 155, 145, 62, 107, 95, 73, 103, 136, 66, 113, 114, 143, 94, 286, 91, 155, 99, 78, 109, 163, 135]
OR10H2	147.0	[255, 61, 63, 59, 147, 232, 256, 83, 121, 98, 260, 203, 70, 77, 110, 100, 98, 292, 155, 161, 147, 295, 207, 231, 207, 143, 119, 168, 288, 142, 184, 76, 170, 77, 331, 187, 280, 174, 289, 54, 198, 159, 263, 120, 88, 118, 188, 168, 61, 221, 93, 100, 346, 144, 138, 152, 96, 187, 139, 53, 296, 147, 110, 234, 79, 67, 297, 78, 216, 44, 63, 125, 177, 80, 88, 290, 185, 142, 174, 79, 129, 47, 79, 140, 109, 252, 383, 366, 96, 48, 398, 164, 167, 124, 207, 212, 117, 278, 322, 68]
PZP	160.0	[152, 210, 200, 115, 335, 302, 285, 128, 117, 106, 63, 225, 151, 153, 153, 221, 91, 153, 165, 180, 207, 160, 261, 144, 179, 150, 90, 115, 160, 125, 160, 149, 244, 127, 100, 117, 360, 313, 173, 173, 131, 140, 175, 120, 292, 148, 153, 149, 189, 204, 285, 147, 254, 175, 219, 144, 159, 113, 233, 114, 204, 131, 285, 183, 131, 160, 130, 179, 196, 128, 128, 156, 189, 200, 165, 163, 153, 202, 145, 243, 135, 115, 175, 150, 148, 166, 148, 115, 155, 121, 173, 181, 116, 225, 419, 223, 162, 159, 292, 170]
RBP3	210.0	[246, 153, 199, 611, 212, 26, 198, 371, 175, 229, 496, 623, 397, 172, 198, 344, 151, 367, 334, 145, 73, 182, 232, 314, 143, 243, 478, 146, 122, 51, 426, 257, 308, 494, 890, 31, 208, 116, 276, 487, 248, 31, 420, 163, 335, 279, 33, 159, 156, 167, 129, 175, 6494, 199, 391, 159, 421, 193, 114, 34, 629, 289, 133, 187, 242, 138, 155, 103, 371, 233, 382, 225, 196, 122, 90, 43, 263, 516, 223, 132, 159, 195, 170, 254, 365, 437, 275, 103, 598, 153, 237, 34, 217, 890, 799, 138, 479, 133, 422, 4]
ATOH1	239.5	[179, 357, 248, 231, 224, 236, 126, 204, 111, 257, 172, 154, 144, 292, 194, 220, 247, 323, 336, 399, 166, 241, 258, 396, 196, 229, 840, 331, 310, 299, 357, 185, 572, 282, 214, 215, 369, 186, 263, 313, 300, 177, 295, 165, 320, 189, 289, 238, 215, 138, 234, 238, 211, 130, 152, 262, 243, 283, 205, 233, 217, 310, 379, 278, 149, 182, 188, 183, 319, 248, 237, 150, 144, 470, 218, 253, 140, 288, 486, 141, 516, 262, 189, 187, 293, 153, 347, 250, 241, 3321, 352, 248, 124, 237, 225, 278, 300, 220, 272, 267]
KCNJ1	246.0	[300, 292, 836, 307, 436, 233, 230, 267, 76, 64, 219, 248, 157, 290, 217, 118, 231, 219, 601, 263, 119, 281, 246, 363, 272, 476, 172, 165, 231, 572, 280, 699, 177, 265, 224, 167, 267, 492, 478, 69, 108, 268, 463, 222, 76, 202, 414, 184, 274, 245, 277, 281, 239, 64, 446, 478, 59, 246, 220, 266, 78, 157, 255, 67, 336, 281, 220, 205, 229, 355, 357, 250, 176, 222, 356, 88, 247, 181, 525, 356, 450, 246, 66, 230, 141, 271, 195, 192, 369, 191, 100, 392, 133, 311, 114, 209, 353, 378, 205, 781]
SHBG	252.5	[309, 194, 287, 243, 231, 395, 207, 235, 216, 169, 186, 400, 172, 155, 218, 296, 189, 268, 305, 292, 277, 361, 252, 263, 400, 213, 212, 253, 232, 254, 231, 294, 322, 202, 253, 426, 219, 284, 234, 298, 237, 320, 198, 220, 197, 197, 234, 304, 311, 331, 392, 260, 312, 447, 241, 181, 198, 251, 216, 307, 217, 204, 370, 397, 165, 597, 561, 342, 208, 228, 202, 194, 368, 254, 241, 331, 211, 303, 144, 338, 177, 277, 417, 223, 189, 267, 210, 167, 412, 255, 227, 387, 291, 352, 506, 203, 235, 314, 313, 191]
TFR2	265.0	[285, 265, 232, 292, 180, 345, 258, 306, 301, 183, 260, 296, 356, 175, 269, 314, 374, 351, 310, 188, 163, 238, 301, 330, 154, 285, 241, 281, 198, 226, 344, 264, 260, 195, 216, 275, 393, 305, 286, 363, 214, 337, 165, 402, 315, 318, 363, 199, 182, 241, 224, 345, 271, 305, 183, 156, 287, 181, 265, 188, 282, 175, 341, 195, 320, 236, 256, 278, 143, 301, 253, 262, 265, 239, 315, 144, 322, 333, 311, 334, 272, 318, 236, 187, 273, 199, 308, 255, 261, 269, 214, 164, 253, 287, 324, 210, 161, 216, 196, 302]
ZNF124	322.0	[310, 436, 349, 567, 150, 507, 355, 432, 3823, 132, 80, 369, 322, 116, 336, 342, 310, 147, 458, 370, 442, 289, 275, 196, 343, 308, 197, 369, 202, 166, 311, 2811, 464, 172, 283, 306, 332, 179, 220, 803, 165, 398, 149, 386, 192, 402, 372, 411, 381, 156, 273, 404, 358, 611, 3982, 349, 125, 378, 780, 190, 280, 234, 519, 165, 322, 307, 241, 365, 402, 269, 292, 357, 312, 351, 198, 125, 185, 262, 206, 157, 358, 679, 186, 95, 376, 385, 809, 532, 457, 116, 186, 397, 352, 63, 479, 790, 272, 542, 144, 149]
VAPB	359.0	[280, 346, 381, 330, 486, 321, 274, 288, 440, 390, 361, 490, 432, 345, 363, 353, 367, 479, 279, 805, 395, 526, 298, 346, 263, 500, 389, 311, 581, 403, 299, 464, 386, 269, 409, 282, 189, 393, 328, 355, 340, 494, 328, 374, 376, 287, 285, 303, 877, 297, 435, 398, 641, 358, 450, 294, 375, 409, 484, 353, 300, 338, 472, 378, 563, 128, 360, 317, 263, 380, 288, 333, 339, 285, 389, 264, 174, 205, 304, 285, 349, 337, 373, 456, 359, 342, 264, 408, 300, 361, 490, 513, 547, 321, 414, 310, 583, 403, 359, 368]
ZNF214	519.5	[564, 1044, 506, 615, 391, 142, 471, 623, 375, 729, 807, 334, 224, 518, 347, 340, 612, 432, 1326, 777, 260, 380, 530, 477, 1050, 702, 704, 445, 597, 314, 445, 658, 563, 725, 396, 851, 588, 858, 853, 1124, 944, 305, 583, 302, 255, 133, 486, 646, 466, 487, 1007, 300, 301, 455, 618, 390, 444, 932, 603, 372, 576, 430, 135, 343, 700, 612, 664, 813, 444, 875, 514, 262, 437, 817, 980, 371, 349, 721, 292, 605, 433, 641, 732, 273, 2208, 596, 679, 521, 766, 477, 448, 834, 487, 589, 344, 545, 300, 339, 608, 394]
MC1R	532.0	[1102, 692, 764, 595, 219, 334, 448, 706, 662, 599, 345, 460, 669, 453, 882, 458, 254, 453, 523, 812, 400, 630, 1244, 334, 6316, 546, 409, 517, 479, 427, 610, 630, 421, 445, 294, 1216, 714, 602, 779, 117, 215, 631, 335, 571, 195, 692, 436, 434, 491, 458, 783, 905, 301, 947, 607, 595, 478, 681, 487, 470, 373, 434, 321, 415, 694, 742, 697, 650, 656, 615, 741, 353, 530, 483, 438, 247, 397, 757, 747, 336, 683, 495, 806, 618, 505, 534, 582, 907, 248, 391, 504, 574, 604, 586, 232, 553, 354, 720, 480, 727]
PSG6	611.0	[426, 859, 518, 484, 521, 562, 634, 770, 817, 482, 1031, 549, 645, 490, 1107, 585, 553, 719, 483, 541, 513, 314, 971, 716, 589, 940, 691, 512, 691, 624, 1102, 612, 898, 1746, 902, 788, 535, 773, 574, 505, 708, 590, 1429, 390, 565, 324, 414, 797, 364, 479, 533, 584, 717, 410, 623, 546, 555, 610, 650, 610, 674, 526, 653, 750, 506, 640, 940, 591, 656, 1007, 516, 637, 621, 470, 498, 713, 768, 264, 626, 1119, 456, 701, 776, 526, 777, 463, 567, 692, 496, 842, 653, 1829, 566, 540, 368, 571, 654, 687, 402, 741]
