Gene	Median Rank	Full Ranks
SMARCB1	1242.0	[212, 988, 1809, 5586, 5043, 3394, 612, 1619, 3830, 144, 165, 133, 337, 3493, 1059, 578, 494, 1043, 4250, 3974, 5021, 4816, 98, 4011, 629, 3368, 5847, 2145, 6345, 4732, 148, 4794, 1909, 800, 79, 118, 325, 627, 1640, 481, 111, 2279, 748, 5747, 2061, 5312, 2635, 3261, 4921, 1620, 1613, 85, 1206, 1851, 3585, 1278, 333, 59, 5269, 1711, 4534, 401, 2497, 1487, 369, 1093, 104, 965, 3610, 2334, 2627, 383, 1196, 6088, 823, 144, 6432, 2677, 2934, 60, 123, 53, 3439, 522, 113, 742, 1996, 6043, 710, 896, 1059, 545, 376, 241, 3165, 5282, 620, 361, 139, 2962]
GAGE7	1451.5	[6073, 3447, 1220, 1868, 6410, 1646, 2951, 82, 236, 742, 738, 1963, 2086, 3113, 5667, 2637, 5544, 145, 142, 4888, 3448, 885, 5890, 5891, 863, 4491, 4460, 4007, 2476, 64, 1337, 195, 343, 6305, 139, 3118, 6374, 93, 4497, 1379, 1040, 537, 1433, 1058, 6023, 567, 1316, 815, 4390, 430, 423, 1190, 4795, 5847, 1701, 148, 2243, 6418, 3917, 215, 2308, 525, 22, 4899, 1127, 3144, 410, 5437, 1282, 1670, 5497, 6112, 3496, 945, 2789, 4075, 1422, 1469, 468, 364, 584, 4107, 52, 6206, 323, 6169, 681, 1141, 6090, 1452, 63, 1408, 1000, 1912, 414, 5562, 103, 424, 1451, 335]
CDC42BPB	1472.0	[465, 609, 5978, 137, 2492, 1379, 6340, 707, 868, 417, 145, 1963, 970, 5855, 6169, 4308, 1442, 123, 453, 2123, 5064, 34, 41, 177, 6364, 6064, 259, 2463, 190, 2675, 506, 4658, 435, 486, 478, 5143, 6333, 6357, 2347, 53, 6441, 77, 4317, 6342, 38, 1929, 204, 93, 225, 6364, 2551, 30, 5567, 6207, 299, 3304, 6463, 470, 3614, 220, 4563, 736, 6343, 459, 819, 3901, 1089, 4243, 5612, 1826, 948, 5702, 162, 3367, 5384, 895, 6381, 1406, 4117, 1200, 467, 337, 5930, 1502, 36, 305, 5985, 54, 852, 1608, 5889, 2344, 1016, 367, 1593, 709, 169, 4790, 6295, 2499]
OPN1SW	1531.5	[208, 126, 1165, 5998, 2025, 4772, 1125, 2608, 531, 3314, 805, 6389, 551, 4507, 4656, 4809, 1750, 5349, 477, 4536, 1010, 2962, 162, 3809, 698, 901, 3088, 2749, 228, 5650, 745, 3197, 1356, 6297, 1030, 786, 426, 5093, 860, 4901, 371, 1620, 819, 208, 5381, 5011, 2849, 54, 2149, 411, 719, 6067, 973, 309, 1118, 107, 2227, 526, 5614, 1100, 4306, 4857, 4367, 5706, 6133, 229, 59, 5653, 3011, 1568, 1145, 659, 48, 34, 139, 574, 59, 5594, 4144, 1495, 114, 97, 3106, 4711, 485, 5602, 156, 5857, 1396, 6342, 5629, 2771, 91, 5523, 589, 4002, 3472, 5283, 109, 1314]
SUPT6H	1855.0	[1395, 2252, 3579, 258, 1325, 159, 3796, 4000, 238, 166, 5167, 4090, 1903, 4561, 5318, 3708, 670, 813, 458, 3152, 4192, 382, 805, 814, 6289, 622, 5282, 6229, 508, 574, 4159, 4359, 2092, 5757, 392, 4866, 428, 198, 6167, 96, 3036, 2803, 5473, 1597, 1773, 1426, 414, 403, 4688, 1353, 5533, 6405, 2824, 1444, 2705, 5625, 104, 2025, 4505, 1575, 1793, 1412, 6080, 625, 6141, 216, 807, 2947, 1904, 3729, 2219, 1519, 1766, 432, 1916, 383, 1574, 559, 568, 1058, 4547, 4445, 3330, 3569, 3569, 5775, 2745, 3201, 654, 1680, 1664, 145, 378, 871, 892, 4002, 3157, 351, 1807, 6030]
TTYH1	2014.5	[5773, 1102, 4793, 5328, 898, 1995, 5543, 2823, 460, 5869, 1971, 6299, 282, 4179, 711, 2034, 6408, 693, 1538, 1883, 2833, 1575, 5458, 1990, 5275, 526, 5965, 472, 1583, 679, 4267, 1751, 4278, 5890, 948, 5464, 5730, 3096, 1080, 5878, 2517, 4623, 683, 928, 1615, 4360, 5532, 3307, 682, 5912, 805, 818, 1223, 1093, 689, 6046, 6378, 4285, 1364, 876, 1773, 115, 109, 1325, 5084, 4896, 6278, 692, 99, 5066, 2325, 1231, 5343, 5470, 4743, 142, 1852, 5062, 125, 2522, 1628, 117, 1306, 1136, 2732, 4955, 136, 1738, 3326, 5430, 91, 6153, 3098, 1239, 811, 5891, 4327, 2864, 810, 5689]
ZNF214	2249.0	[6089, 83, 6440, 6150, 5975, 60, 6441, 230, 6441, 898, 2817, 59, 106, 856, 3530, 6459, 1619, 3728, 413, 14, 351, 2449, 141, 116, 6209, 6271, 1022, 5619, 6296, 5817, 2241, 4612, 3562, 4241, 6431, 5803, 140, 6203, 891, 292, 126, 214, 1490, 6333, 1837, 159, 927, 6343, 1909, 1890, 5925, 6132, 4390, 6370, 16, 557, 5090, 138, 2896, 5439, 4196, 6422, 161, 5904, 3165, 6276, 6212, 171, 3090, 2257, 63, 401, 2008, 6264, 449, 1964, 125, 17, 6399, 6333, 1781, 194, 5640, 4092, 1302, 1489, 4544, 305, 4404, 33, 2945, 1427, 2113, 275, 179, 1938, 2965, 6450, 2050, 4719]
MAS1	2299.5	[1780, 3569, 2493, 6078, 6355, 2285, 2371, 1461, 5707, 3054, 260, 697, 5631, 6419, 119, 39, 6023, 58, 125, 156, 2394, 22, 2314, 1402, 1661, 6037, 5872, 606, 157, 6300, 36, 1034, 3622, 3851, 5947, 6478, 98, 2677, 103, 4825, 498, 6128, 28, 39, 15, 3797, 2715, 6444, 6423, 2349, 110, 71, 6086, 1473, 14, 235, 92, 28, 6179, 6456, 6131, 3381, 578, 5599, 5570, 6349, 22, 3166, 42, 4103, 6310, 71, 463, 64, 214, 386, 1169, 2056, 6216, 6455, 173, 5593, 1346, 11, 645, 6451, 229, 502, 5920, 6432, 1453, 6250, 3480, 6189, 6440, 518, 222, 4953, 6321, 167]
NAT1	2306.5	[1343, 2195, 3563, 1219, 2155, 2877, 2871, 2884, 718, 2266, 3144, 259, 1363, 5905, 1402, 3162, 603, 573, 3307, 346, 2075, 2663, 4790, 1244, 3084, 2586, 877, 5887, 5519, 3272, 3973, 2821, 1065, 2215, 2843, 806, 1304, 2347, 3802, 806, 1649, 2076, 4713, 1456, 5730, 3150, 2677, 5967, 560, 3481, 4657, 1611, 597, 561, 592, 4288, 1258, 4031, 3459, 2615, 3908, 1297, 705, 703, 1735, 3787, 3043, 1535, 1765, 1737, 696, 2881, 1649, 4857, 4062, 3159, 5544, 4860, 2492, 204, 1417, 1908, 1434, 5534, 5045, 1197, 5738, 2187, 1209, 611, 5870, 1735, 4937, 748, 2924, 5661, 1098, 1735, 4937, 5860]
CPB1	2424.0	[5942, 1818, 5018, 584, 4347, 908, 833, 382, 368, 1641, 4191, 170, 482, 227, 2699, 6304, 2390, 1809, 2356, 5079, 275, 6156, 787, 115, 5224, 629, 4343, 2424, 66, 958, 4978, 3681, 2533, 655, 1190, 5123, 1031, 1687, 5718, 6224, 166, 1874, 649, 4920, 6187, 3553, 5931, 3107, 430, 2522, 3127, 1965, 4632, 4223, 5781, 358, 2311, 4500, 1206, 2526, 2207, 5358, 923, 4118, 832, 1136, 1555, 902, 2458, 2441, 3365, 5613, 6067, 4426, 5970, 1207, 1668, 616, 5947, 5930, 2694, 3931, 2424, 4162, 591, 1674, 317, 695, 269, 785, 1594, 4893, 2946, 1542, 2424, 3050, 3303, 5355, 306, 4884]
PDZK1	2449.5	[4102, 1023, 1781, 1961, 1398, 2232, 3544, 957, 2450, 1131, 5121, 5825, 6091, 3409, 5366, 3714, 2098, 3141, 5603, 4629, 1209, 4542, 2805, 6037, 2694, 1333, 1928, 3421, 2878, 347, 4036, 6008, 798, 4768, 651, 5473, 4872, 445, 957, 5545, 1635, 4975, 231, 1471, 1756, 3556, 765, 2690, 1584, 3192, 4634, 3023, 1582, 5375, 4766, 4014, 5121, 2315, 1069, 1672, 5131, 5940, 3736, 653, 119, 4351, 1544, 1420, 894, 5034, 5059, 2469, 3160, 836, 4234, 2962, 3553, 2339, 310, 3928, 860, 1994, 2282, 5646, 832, 2112, 2449, 859, 530, 1629, 2356, 4300, 1182, 4348, 824, 2411, 790, 1417, 1916, 4957]
IFNA4	2460.5	[5707, 6380, 4015, 2576, 4851, 622, 5730, 684, 4131, 1381, 346, 892, 3975, 2435, 4904, 231, 449, 913, 5271, 1065, 4240, 2815, 4785, 838, 5120, 2618, 2412, 492, 4667, 3662, 5826, 5972, 5457, 2403, 3888, 1653, 3286, 1715, 2454, 3733, 3714, 2247, 375, 811, 1235, 3096, 5784, 2685, 946, 4512, 2895, 3001, 561, 5482, 1621, 1739, 464, 5198, 2057, 229, 2547, 2467, 2588, 4789, 442, 732, 1297, 6269, 5725, 2067, 147, 1986, 2212, 173, 2569, 1023, 834, 726, 5697, 4764, 5407, 480, 1723, 3980, 5650, 912, 1520, 4683, 5264, 1128, 5228, 3610, 2992, 321, 3400, 840, 1321, 313, 2363, 2214]
COL11A1	2481.0	[3147, 1070, 2137, 3276, 3705, 1550, 5093, 2216, 2331, 3125, 4385, 5355, 4787, 3655, 1910, 1659, 3113, 1662, 1239, 1404, 3037, 1508, 2339, 2623, 2952, 3299, 2848, 698, 4604, 2174, 1052, 4825, 3281, 836, 1588, 3694, 4304, 3498, 3527, 4342, 1750, 4325, 3797, 1319, 1740, 1824, 4228, 1024, 5589, 3020, 3169, 732, 4952, 2303, 1450, 3337, 3335, 1865, 1832, 1615, 1816, 1458, 597, 2028, 3609, 3401, 399, 4550, 3026, 723, 4888, 1479, 1061, 2045, 3822, 4620, 1351, 4649, 726, 1973, 593, 3936, 2736, 1134, 1823, 3277, 5264, 1292, 1712, 3734, 4856, 2927, 2014, 2225, 4467, 4241, 2319, 3710, 2133, 2190]
S100A8	2529.5	[4397, 1280, 3688, 2788, 2082, 3332, 1881, 2651, 1904, 753, 4578, 2738, 2324, 685, 4009, 896, 4334, 2991, 2818, 1157, 1859, 2718, 3038, 1733, 2087, 2298, 1931, 2478, 1851, 1670, 1802, 4570, 1607, 1959, 1651, 4343, 3302, 2375, 3944, 2167, 3582, 4023, 3092, 3551, 1897, 916, 5267, 5002, 1593, 3535, 3744, 2982, 4678, 1142, 1739, 1979, 2344, 3775, 1068, 2269, 3182, 2438, 1083, 1004, 2254, 2567, 3986, 3838, 2546, 1982, 1283, 2393, 3803, 3803, 722, 4972, 1090, 3842, 2110, 2161, 2676, 5726, 2757, 3253, 2596, 3145, 2513, 3897, 1431, 2261, 2716, 2719, 4243, 1689, 2938, 1615, 1542, 3010, 5946, 1955]
IFNA14	2543.5	[5108, 1743, 2090, 5195, 5415, 1789, 2280, 213, 813, 2686, 2201, 820, 2618, 5770, 2170, 477, 2344, 1305, 4360, 3043, 856, 1526, 693, 1686, 5121, 3409, 4484, 3706, 1023, 950, 4578, 2395, 1813, 5264, 2145, 5434, 545, 2428, 6037, 1771, 3620, 4765, 1453, 3160, 3116, 1148, 5768, 4278, 4441, 2272, 2298, 2863, 4167, 2334, 3454, 3783, 3472, 4039, 5115, 884, 3700, 3847, 5967, 975, 2675, 4496, 1043, 6020, 4204, 1171, 3431, 2078, 4936, 2752, 431, 1559, 1824, 4725, 2690, 4855, 2665, 865, 628, 1506, 6266, 997, 500, 790, 3561, 3363, 1265, 2397, 937, 4754, 5663, 395, 5109, 2469, 131, 1274]
LRPAP1	2550.0	[6249, 3734, 4618, 642, 6022, 3277, 126, 4844, 2884, 4613, 269, 2598, 902, 1128, 951, 3390, 1252, 4683, 1276, 878, 1140, 3767, 2149, 4857, 4364, 4005, 3822, 495, 1889, 1525, 1476, 4469, 2227, 4609, 748, 1245, 2121, 2502, 4894, 547, 2253, 1107, 2129, 634, 656, 4469, 3260, 5611, 1552, 3510, 1230, 1185, 5584, 1836, 5511, 2440, 5222, 4500, 3765, 2404, 2057, 1479, 6174, 1646, 791, 2269, 6115, 1811, 5049, 5876, 1615, 4648, 298, 6237, 3868, 2158, 4199, 5910, 1047, 1939, 5020, 4227, 2978, 5545, 2308, 3411, 3166, 5649, 183, 628, 118, 732, 4360, 1673, 2794, 1740, 5617, 6172, 5003, 5402]
OR52A1	2562.5	[702, 6148, 6175, 6212, 81, 43, 3095, 392, 134, 6090, 167, 5201, 6414, 70, 5757, 235, 749, 6471, 6419, 2345, 73, 6450, 183, 3313, 2867, 6431, 6379, 5885, 290, 1161, 6263, 6034, 2774, 4420, 1229, 6449, 80, 398, 6438, 6388, 25, 370, 975, 6474, 6415, 5275, 6431, 1549, 5604, 1407, 6370, 6202, 402, 6063, 6240, 251, 316, 49, 47, 2087, 6349, 2351, 2277, 1406, 2347, 6175, 5162, 1060, 5013, 255, 178, 78, 141, 4658, 152, 5422, 558, 404, 6464, 1441, 5671, 1420, 4604, 6472, 221, 892, 10, 2978, 298, 3825, 6329, 933, 5853, 3183, 373, 4880, 120, 6461, 364, 6476]
SLC26A6	2590.0	[465, 2407, 928, 1839, 1642, 6366, 6312, 511, 861, 232, 1037, 681, 1227, 306, 1135, 3488, 482, 6235, 4075, 3862, 598, 972, 4795, 384, 585, 5038, 6259, 5853, 4623, 854, 6416, 442, 88, 975, 1733, 5050, 6387, 435, 1143, 6176, 818, 2099, 4230, 209, 2233, 2589, 5162, 2951, 2996, 128, 5396, 5894, 4661, 1604, 6008, 187, 5130, 391, 5456, 3295, 1782, 1091, 303, 3261, 4467, 2282, 5908, 119, 560, 788, 4493, 2114, 5942, 1403, 6224, 2274, 3797, 4051, 1268, 3331, 4406, 5641, 3761, 4532, 5600, 6334, 3480, 3162, 5685, 5357, 6283, 4205, 1089, 451, 5937, 2591, 316, 1983, 2124, 6313]
