Gene	Median Rank	Full Ranks
DAZ4	98.5	[7, 71, 13, 63, 13, 6, 188, 5, 1156, 98, 41, 4326, 161, 14, 524, 665, 5, 3987, 6, 82, 11, 7, 17, 5462, 78, 195, 66, 8, 148, 2797, 237, 140, 6, 22, 5233, 115, 62, 3282, 99, 285, 9, 562, 448, 98, 17, 133, 5352, 12, 389, 12, 2528, 808, 9, 1942, 16, 252, 17, 14, 661, 1187, 12, 17, 102, 114, 1800, 5, 179, 5109, 221, 14, 2187, 10, 85, 4068, 9, 6120, 13, 324, 103, 1295, 282, 98, 6, 9, 12, 705, 2744, 10, 15, 198, 477, 9, 107, 3055, 82, 13, 10, 174, 8, 4750]
RFPL3	136.0	[24, 47, 46, 244, 647, 242, 22, 232, 536, 433, 47, 35, 100, 190, 47, 15, 101, 156, 56, 2089, 94, 5191, 39, 69, 22, 121, 142, 851, 136, 216, 454, 627, 102, 164, 504, 31, 35, 114, 179, 36, 1809, 95, 24, 95, 12, 6251, 64, 30, 1358, 81, 52, 28, 785, 45, 204, 601, 129, 278, 40, 20, 1315, 84, 45, 43, 215, 2259, 2045, 196, 4450, 2366, 1249, 1304, 35, 76, 105, 316, 136, 52, 12, 65, 229, 677, 261, 263, 179, 87, 5962, 1134, 194, 82, 386, 80, 151, 6335, 45, 4201, 474, 78, 72, 230]
HCRT	222.0	[137, 404, 566, 196, 1703, 46, 143, 236, 2402, 207, 124, 205, 1105, 106, 161, 283, 2648, 346, 162, 176, 98, 1285, 71, 122, 99, 1123, 534, 166, 417, 336, 502, 175, 762, 1365, 118, 1099, 345, 41, 133, 560, 176, 37, 351, 264, 1594, 409, 260, 1448, 220, 2004, 1733, 165, 74, 160, 246, 420, 646, 87, 39, 97, 295, 207, 187, 1363, 223, 68, 2756, 926, 289, 103, 4007, 104, 37, 1621, 272, 73, 412, 396, 166, 110, 229, 172, 255, 125, 82, 54, 1877, 80, 391, 277, 334, 85, 51, 1255, 135, 71, 123, 221, 577, 128]
MAS1	267.5	[440, 167, 448, 5318, 467, 42, 33, 62, 27, 1792, 651, 25, 41, 108, 192, 46, 448, 1542, 349, 48, 2170, 999, 752, 49, 1946, 40, 82, 5347, 257, 839, 32, 28, 72, 1662, 2740, 385, 3369, 1173, 65, 2751, 40, 1899, 57, 299, 1355, 589, 1350, 2286, 1320, 21, 2469, 1879, 1715, 47, 4127, 42, 91, 35, 2792, 571, 39, 23, 56, 804, 2657, 50, 252, 3091, 33, 69, 202, 115, 27, 45, 128, 710, 80, 109, 1831, 48, 55, 1281, 2877, 19, 70, 53, 1482, 378, 632, 56, 95, 278, 21, 1619, 3347, 35, 1354, 27, 1159, 323]
CYP2C8	451.5	[1001, 397, 528, 373, 226, 804, 266, 242, 222, 1260, 460, 222, 280, 504, 1305, 572, 651, 543, 380, 507, 426, 408, 360, 191, 226, 947, 2829, 134, 430, 660, 879, 100, 359, 369, 330, 771, 1480, 951, 392, 464, 265, 568, 466, 1783, 3782, 520, 2850, 454, 1028, 445, 620, 390, 489, 292, 326, 455, 1182, 223, 673, 964, 1203, 555, 753, 101, 149, 1963, 319, 436, 2378, 650, 520, 464, 447, 154, 347, 144, 262, 239, 218, 367, 297, 2565, 279, 1376, 510, 260, 564, 457, 222, 411, 607, 137, 1373, 694, 443, 449, 398, 235, 539, 357]
GRIN2A	606.5	[164, 378, 714, 410, 445, 578, 145, 1031, 2381, 484, 175, 143, 273, 1342, 875, 1218, 871, 841, 486, 371, 1851, 489, 747, 786, 654, 1123, 1759, 435, 2394, 273, 838, 979, 315, 187, 2668, 1433, 304, 270, 1612, 943, 151, 1451, 930, 255, 271, 198, 330, 451, 358, 1038, 773, 1900, 811, 678, 546, 387, 1815, 197, 122, 439, 2459, 918, 147, 642, 753, 199, 904, 432, 350, 969, 773, 386, 787, 379, 487, 319, 1636, 850, 587, 443, 998, 340, 242, 238, 2628, 1388, 338, 1083, 314, 1511, 605, 1251, 227, 1447, 1618, 804, 828, 512, 608, 418]
MX1	727.5	[486, 218, 775, 4635, 471, 1370, 389, 1187, 2831, 1258, 354, 1061, 736, 1310, 350, 632, 410, 1464, 468, 1539, 1175, 1329, 987, 317, 566, 278, 370, 848, 1681, 557, 220, 527, 473, 565, 491, 673, 1673, 1661, 535, 1030, 517, 743, 406, 384, 1831, 454, 790, 273, 839, 1029, 1227, 524, 178, 291, 263, 457, 240, 886, 931, 489, 1690, 1090, 699, 170, 649, 424, 941, 602, 1237, 3042, 1251, 176, 1390, 487, 1747, 3425, 1119, 419, 1335, 1957, 277, 857, 921, 1297, 3306, 270, 2642, 548, 2428, 1097, 430, 1412, 819, 327, 1164, 313, 612, 279, 1127, 719]
IFNA14	791.0	[307, 1392, 509, 4432, 803, 508, 138, 3058, 599, 959, 786, 379, 1151, 664, 1552, 306, 653, 1597, 734, 5474, 519, 512, 781, 1658, 184, 483, 762, 756, 583, 961, 668, 4885, 414, 529, 265, 990, 780, 884, 963, 721, 932, 796, 816, 4067, 1615, 868, 656, 407, 783, 236, 744, 3522, 786, 1635, 2798, 640, 974, 1397, 694, 601, 1531, 407, 2682, 572, 4540, 546, 263, 1003, 634, 1149, 5120, 1090, 1207, 674, 529, 850, 1823, 2071, 451, 889, 747, 324, 1057, 1828, 1034, 502, 877, 451, 2337, 2354, 1253, 4712, 778, 509, 1695, 428, 2989, 1249, 543, 2985]
PDZK1	806.5	[203, 371, 643, 567, 718, 2086, 452, 604, 305, 287, 1498, 1545, 300, 1262, 1196, 2397, 1952, 440, 1107, 338, 381, 630, 1857, 1344, 303, 1508, 489, 908, 673, 147, 1248, 2112, 327, 2006, 1135, 3718, 1838, 354, 557, 1191, 878, 498, 120, 797, 262, 402, 2345, 2120, 311, 1172, 223, 1028, 2172, 1615, 1890, 1667, 527, 1084, 1767, 892, 171, 1695, 1926, 744, 1280, 592, 962, 1062, 1665, 324, 454, 1459, 227, 1036, 1618, 297, 603, 808, 535, 1869, 688, 809, 1070, 1138, 628, 374, 2734, 407, 310, 191, 241, 805, 539, 1835, 732, 1613, 2093, 130, 428, 2126]
PARG	858.0	[861, 194, 711, 1324, 775, 2263, 810, 855, 3321, 296, 592, 1918, 267, 683, 576, 1048, 470, 645, 1652, 183, 1578, 1687, 405, 767, 1013, 764, 1866, 335, 496, 4325, 3612, 191, 1057, 252, 580, 2761, 558, 107, 1372, 3294, 2921, 123, 2578, 2527, 1201, 1361, 296, 778, 225, 4734, 154, 891, 749, 1569, 944, 358, 874, 702, 257, 3423, 2923, 792, 578, 357, 753, 1817, 793, 3157, 465, 459, 532, 1482, 588, 2189, 3553, 761, 4682, 1362, 378, 3168, 1488, 463, 1938, 490, 733, 1483, 1267, 712, 1162, 1058, 1553, 914, 881, 544, 166, 779, 2841, 985, 4718, 3345]
