Gene	Median Rank	Full Ranks
UGT2B11	4.0	[1, 34, 4, 3, 8, 4, 4, 7, 20, 3, 11, 1, 7, 38, 46, 420, 1, 241, 9, 1, 752, 1, 1, 14, 3, 4, 22, 21, 1, 5, 2, 2, 1, 35, 18, 1, 25, 39, 2, 3, 1, 2, 3, 3, 1, 3, 348, 2, 25, 2, 37, 92, 1, 12, 9, 6, 13, 1082, 1, 2, 2, 8, 2, 107, 4, 1, 3, 1, 5, 1, 15, 2, 265, 2, 1, 9, 6, 1, 4, 2, 2, 1, 6, 7, 9, 2, 16, 31, 2, 19, 6, 5, 5, 6, 1, 14, 1, 5, 4, 1]
OR10H1	12.0	[15, 12, 15, 6, 6, 4, 7, 5, 17, 2507, 9, 4, 12, 18, 15, 12, 10, 4, 11, 144, 6, 13, 5, 4, 13, 12, 13, 14, 15, 17, 11, 18, 6, 9, 4, 4, 2, 6, 12, 4, 8, 16, 9, 12, 13, 12, 11, 7, 5, 8, 4, 8, 10, 3, 2, 16, 10, 8, 16, 15, 3, 14, 22, 20, 19, 13, 14, 16, 6, 17, 9, 14, 17, 12, 17, 17, 1174, 11, 14, 9, 7, 11, 23, 15, 14, 17, 21, 15, 11, 15, 5, 12, 10, 15, 3, 19, 11, 9, 14, 49]
OR52A1	12.0	[7, 3, 16, 9, 15, 10, 9, 11, 19, 6, 10, 11, 20, 12, 6, 31, 7, 15, 16, 9, 28, 13, 17, 22, 12, 16, 7, 6, 10, 13, 21, 8, 21, 11, 11, 5, 8, 24, 8, 7, 13, 7, 9, 6, 12, 9, 21, 31, 20, 32, 9, 5, 21, 12, 9, 12, 18, 12, 16, 12, 14, 16, 10, 11, 13, 13, 12, 22, 12, 7, 20, 26, 9, 1269, 25, 15, 15, 8, 14, 9, 7, 17, 16, 5, 15, 20, 12, 13, 14, 27, 8, 3, 5, 8, 17, 3, 5, 14, 10, 12]
DAZ4	13.5	[37, 5, 14, 4, 2, 7, 7, 29, 10, 10, 7, 80, 4, 6, 20, 5, 7, 11, 75, 16, 398, 7, 13, 7, 4, 15, 8, 10, 3332, 3182, 102, 30, 265, 5041, 65, 30, 1411, 29, 5, 33, 50, 12, 3, 69, 9, 1492, 13, 4, 22, 114, 95, 17, 17, 21, 8, 20, 12, 7, 20, 22, 164, 6, 39, 9, 16, 19, 47, 101, 265, 22, 5, 2, 25, 40, 16, 11, 18, 6, 18, 6, 3, 43, 198, 6, 10, 10, 23, 31, 8, 9, 6, 10, 6, 12, 7, 6, 4, 5, 10, 41]
HLA-DPB1	13.5	[5, 3, 24, 7, 228, 4, 5, 8, 10, 19, 19, 5, 12, 5, 102, 94, 14, 951, 13, 5, 59, 62, 6, 57, 11, 14, 10, 34, 6, 4, 22, 5, 6, 124, 7, 5, 20, 12, 32, 10, 12, 3, 8, 11, 92, 13, 23, 20, 20, 14, 12, 1458, 9, 35, 119, 977, 11, 10, 11, 9, 60, 2061, 63, 13, 307, 2, 5, 17, 3, 892, 23, 4, 4, 5, 18, 5, 14, 15, 27, 59, 7, 11, 7, 12, 4, 14, 16, 2443, 16, 53, 15, 34, 35, 12, 903, 15, 232, 38, 6, 6]
OR2S2	23.0	[17, 66, 11, 17, 28, 30, 5095, 18, 935, 36, 32, 15, 19, 10, 9, 32, 12, 29, 47, 26, 16, 1127, 4426, 18, 18, 31, 8, 21, 22, 10, 16, 41, 33, 27, 20, 24, 13, 2065, 22, 19, 15, 8, 21, 30, 24, 21, 12, 25, 23, 18, 204, 13, 17, 23, 20, 21, 21, 41, 15, 17, 21, 31, 1396, 27, 13, 25, 51, 32, 1391, 45, 24, 13, 48, 3961, 24, 20, 23, 41, 10, 74, 108, 7, 32, 40, 38, 12, 43, 18, 20, 23, 11, 48, 31, 23, 14, 24, 80, 21, 328, 7]
PDZK1	27.0	[8, 14, 16, 262, 38, 160, 884, 11, 15, 19, 59, 16, 89, 23, 256, 21, 31, 12, 13, 44, 259, 21, 22, 250, 18, 22, 14, 19, 29, 21, 66, 622, 96, 21, 31, 122, 14, 154, 28, 122, 20, 21, 26, 23, 20, 34, 162, 57, 12, 30, 65, 9, 10, 13, 12, 17, 15, 15, 34, 21, 15, 90, 28, 42, 22, 52, 23, 35, 8, 14, 133, 62, 75, 171, 156, 57, 25, 13, 18, 129, 22, 57, 93, 189, 12, 47, 15, 19, 28, 11, 60, 29, 303, 32, 815, 12, 18, 440, 206, 19]
SUPT6H	44.0	[10, 78, 107, 33, 18, 7, 801, 17, 4, 17, 12, 570, 9, 46, 64, 15, 13, 12, 28, 19, 1115, 572, 7, 108, 26, 179, 49, 23, 77, 123, 14, 38, 18, 38, 148, 5, 173, 20, 13, 59, 15, 212, 12, 34, 42, 83, 86, 18, 32, 90, 480, 18, 1239, 50, 20, 336, 85, 23, 698, 44, 6, 2, 60, 270, 5, 32, 20, 216, 17, 49, 178, 12, 50, 215, 78, 111, 59, 9, 278, 49, 239, 54, 62, 7, 61, 484, 65, 17, 53, 44, 38, 95, 7, 10, 7, 20, 107, 10, 53, 86]
COL11A1	44.0	[22, 42, 30, 18, 15, 17, 586, 450, 54, 303, 81, 49, 17, 120, 66, 138, 25, 58, 46, 71, 33, 480, 12, 18, 123, 143, 37, 23, 136, 944, 36, 84, 625, 23, 63, 11, 45, 26, 15, 42, 21, 144, 44, 60, 10, 27, 32, 193, 20, 8, 59, 24, 73, 19, 15, 31, 298, 101, 50, 32, 34, 21, 12, 54, 31, 26, 38, 19, 413, 216, 613, 30, 354, 38, 23, 92, 12, 120, 41, 14, 38, 68, 21, 2205, 84, 44, 36, 532, 18, 111, 32, 192, 230, 74, 325, 211, 119, 281, 38, 47]
S100A9	44.5	[11, 10, 11, 120, 8, 18, 34, 49, 116, 16, 78, 7, 9, 524, 27, 221, 74, 9, 22, 252, 18, 67, 54, 51, 1355, 245, 17, 28, 241, 18, 54, 25, 218, 2460, 139, 24, 137, 11, 9, 40, 138, 54, 23, 6, 17, 938, 186, 23, 54, 13, 6, 49, 29, 13, 889, 436, 20, 70, 23, 50, 22, 235, 137, 202, 15, 354, 57, 5, 31, 7, 17, 12, 17, 19, 117, 292, 20, 17, 84, 17, 119, 85, 52, 1793, 197, 154, 1065, 13, 22, 101, 16, 633, 5, 66, 351, 385, 14, 15, 18, 100]
